"gdp","population","dem_status"
19291104007.8299,38041754,"NF"
15279183289.9372,2854191,"PF"
171091289782.245,43053054,"NF"
3154057987.23833,77142,"F"
88815697793.303,31825295,"NF"
1661962962.96296,97118,"F"
445445177459.426,44938712,"F"
13672802157.8324,2957731,"PF"
1396567014733.23,25365745,"F"
445075391688.156,8879920,"F"
48047647058.8235,10024283,"NF"
13578800000,389482,"F"
38574069148.9362,1641172,"NF"
302571254131.135,163046161,"PF"
5.209e+09,287025,"F"
63080457022.6599,9417849,"NF"
533097455834.509,11502704,"F"
1879613600,390353,"F"
14390709094.9386,11801151,"PF"
2530547157.56678,763092,"PF"
40895322843.7851,11513100,"PF"
20164193806.88,3301000,"PF"
18340480936.0444,2303697,"F"
1839758040765.62,211049527,"F"
13469422958.5105,433285,"NF"
68558815111.6199,6975761,"F"
15990803569.9961,20321378,"PF"
3012334881.64057,11530580,"NF"
1981845740.35828,549935,"F"
27089389786.979,16486542,"NF"
39007354359.2798,25876380,"NF"
1736425629519.96,37593384,"F"
2220307368.69593,4745185,"NF"
11314951342.7807,15946876,"NF"
282318159744.65,18952038,"F"
14279937467431,1397715000,"NF"
323615979418.651,50339443,"PF"
1165839927.06327,850886,"PF"
12267392146.5888,5380508,"NF"
50400746171.4239,86790567,"NF"
61801385049.0716,5047561,"F"
58539424929.7248,25716544,"PF"
60752588976.3175,4065253,"F"
NA,11333483,"NF"
24948935408.0376,1198575,"F"
250680504529.647,10671870,"F"
350104327658.675,5814422,"F"
3324634256.13324,973560,"NF"
582403703.703704,71808,"F"
88941299734.2073,10738958,"PF"
107435665000,17373662,"PF"
303092255125.285,100388073,"NF"
27022640000,6453553,"PF"
11026774945.3415,1355986,"NF"
NA,NA,"NF"
31471100656.2431,1326898,"F"
4471598726.6436,1148130,"NF"
95912590628.1412,112078730,"NF"
5496250694.31587,889953,"PF"
269296310180.392,5521606,"F"
2715518274227.45,67055854,"F"
16874450215.1351,2172579,"NF"
NA,4685306,"NF"
17477255545.6705,3720161,"PF"
3861123558039.21,83092962,"F"
66983634223.943,30417856,"F"
209852761132.839,10717169,"F"
1210603703.7037,112003,"F"
76710355347.0968,16604026,"PF"
12296665331.192,12771246,"PF"
1339449165.48759,1920922,"PF"
5173759527.57794,782766,"F"
14332163266.3977,11263077,"PF"
25095395475.0393,9746117,"PF"
365711532816.907,7507400,"PF"
163469042867.956,9771141,"PF"
24188038473.5438,360563,"F"
2868929415617.02,1366417754,"F"
2868929415617.02,1366417754,"NF"
1119190780752.8,270625568,"PF"
NA,82913906,"NF"
234094042938.917,39309783,"NF"
388698711348.156,4934040,"F"
394652210295.849,9054000,"F"
2003576145498.04,60302093,"F"
16458071067.8176,2948279,"F"
5081769542379.77,126264931,"F"
44502895861.6837,10101694,"PF"
181665908556.499,18513673,"NF"
95503088538.092,52573973,"PF"
194647201.946472,117606,"F"
134628542746.97,4207083,"PF"
8454619607.81795,6456200,"PF"
18173839147.4011,7169455,"NF"
34102913582.4235,1913822,"F"
51991634491.6345,6855713,"PF"
2376328637.26318,2125268,"PF"
3070518100,4937374,"PF"
52091152228.3425,6777452,"NF"
NA,38019,"F"
54627411860.4705,2794137,"F"
71104919108.1411,620001,"F"
14114631280.6774,26969307,"PF"
7666704427.00915,18628747,"PF"
364681367531.684,31949777,"PF"
5642179170.45898,530953,"PF"
17279566718.6087,19658031,"PF"
14989415684.1203,504062,"F"
NA,58791,"F"
7600656943.97506,4525696,"PF"
14048430518.5561,1265711,"F"
1268870527160.03,127575529,"PF"
11968713370.4969,2663251,"PF"
NA,38964,"F"
13996719329.4097,3225167,"F"
5542577964.98146,622028,"PF"
119700325461.938,36471769,"PF"
15291448211.603,30366036,"PF"
76085852617.1371,54045420,"NF"
12366528259.1844,2494530,"F"
118223430.124446,12581,"F"
30641380603.9699,28608710,"PF"
907050863145.097,17344874,"F"
206928765543.935,4979300,"F"
12520915291.1837,6545502,"NF"
12911689659.351,23310715,"PF"
448120428858.769,200963599,"PF"
NA,25666161,"NF"
12547040498.9077,2083459,"PF"
24948935408.0376,1198575,"F"
403336363636.364,5347896,"F"
76331518668.5771,4974986,"NF"
278221906022.841,216565318,"PF"
278221906022.841,216565318,"NF"
268354919.433594,18008,"F"
66800800000,4246439,"F"
24829107011.0701,8776109,"PF"
38145288939.8488,7044636,"PF"
226848050819.525,32510453,"F"
376795508678.853,108116615,"PF"
595858207011.512,37965475,"F"
238785085030.988,10286263,"F"
175837550996.185,2832067,"NF"
250077444017.084,19366221,"F"
1699876578871.35,144406261,"NF"
10354417725.1555,12626950,"NF"
852250190.985485,197097,"F"
NA,33860,"F"
418637388.988052,215056,"F"
792966838161.659,34268528,"NF"
23578084052.0147,16296364,"PF"
51475016532.1293,6945235,"PF"
1703387387.32319,97625,"PF"
4121733705.29165,7813215,"PF"
372062527488.638,5703569,"PF"
105079673009.733,5454147,"F"
54174227308.8862,2088385,"F"
1589913622.23799,669823,"F"
4942319040.69958,15442905,"NF"
351431649241.439,58558267,"F"
1646739219509.89,51709098,"F"
NA,11062113,"NF"
1393490524517.64,47133521,"F"
84008783756.068,21803000,"PF"
1053244444.44444,52834,"F"
2122450629.62963,182790,"F"
824718518.518518,110589,"F"
30513456084.7961,42813238,"NF"
3697371949.58434,581363,"F"
530883869004.977,10278887,"F"
703082435158.864,8575280,"F"
NA,17070135,"NF"
NA,NA,"F"
8116626794.25837,9321018,"NF"
63177068174.549,58005463,"PF"
543548969968.693,69625582,"PF"
1826073739.82522,2347706,"PF"
2017924900,1293119,"F"
5490272413.38702,8082366,"PF"
512350059.421629,104494,"F"
24269714809.9078,1394973,"F"
38796687568.157,11694719,"F"
761425499358.159,83429615,"NF"
NA,5942089,"NF"
47271463.3298575,11646,"F"
35165157016.9125,44269594,"NF"
153781069118.148,44386203,"PF"
421142267937.65,9770529,"NF"
2829108219165.8,66836327,"F"
2.1433226e+13,328239523,"F"
56045912952.9732,3461734,"F"
57921286440.3495,33580350,"NF"
934239973.812573,299882,"F"
NA,28515829,"NF"
261921244843.172,96462106,"NF"
NA,4685306,"NF"
NA,NA,"NF"
22581081993.945,29161922,"NF"
23309773922.7582,17861030,"PF"
21440758800,14645468,"PF"
18353881129.881,37172386,"NF"
15147020535.3869,2866376,"PF"
175405660377.358,42228429,"NF"
3218316013.22626,77006,"F"
101353230784.594,30809762,"NF"
1605351851.85185,96286,"F"
517626700412.718,44494502,"F"
12457941907.0333,2951776,"PF"
1432881172002.17,24982688,"F"
455094861902.062,8840521,"F"
47112941176.4706,9939771,"NF"
13022100000,385640,"F"
37652500000,1569439,"NF"
274039092455.306,161356039,"PF"
5086500000,286641,"F"
60031262269.3365,9483499,"NF"
543734366831.215,11427054,"F"
1871200000,383071,"F"
14250985958.6727,11485048,"F"
2446866404.93058,754394,"PF"
40287647930.4761,11353142,"PF"
20183510561.2553,3323929,"PF"
18663265549.0196,2254126,"F"
1885482534238.33,209469333,"F"
13567351175.0315,428962,"NF"
66230155099.5775,7025037,"F"
16059910870.6239,19751535,"PF"
3036931818.18182,11175378,"NF"
1966983316.56524,543767,"F"
24571753583.4922,16249798,"NF"
38694156862.9922,25216237,"NF"
1716262621082.22,37065178,"F"
2220978978.17342,4666377,"NF"
11239167048.4916,15477751,"NF"
298258019275.049,18729160,"F"
13894817549374.2,1392730000,"NF"
333568923004.469,49661056,"PF"
1178530757.72328,832322,"PF"
13518403446.9566,5244363,"NF"
46831342212.5473,84068091,"NF"
60553901420.085,4999441,"F"
58011466450.8643,25069229,"PF"
61375222347.0256,4087843,"F"
1.00023e+11,11338138,"NF"
25309818138.8758,1189265,"F"
248908731817.502,10629928,"F"
356879499797.896,5793636,"F"
3012820409.63313,958920,"NF"
551074074.074074,71625,"F"
85555378043.7999,10627165,"PF"
107562008000,17084357,"PF"
249712999437.254,98423595,"NF"
26117400000,6420744,"F"
13278488567.3058,1308974,"NF"
NA,NA,"NF"
30631142226.8533,1321977,"F"
4665424249.06156,1136191,"NF"
84269348327.3454,109224559,"NF"
5581393120.62853,883483,"PF"
275946554578.823,5515525,"F"
2787863958885.49,66965912,"F"
16862282413.8778,2119275,"NF"
16276600000,4569087,"NF"
17599700090.762,3726549,"PF"
3963767526250.98,82905782,"F"
65556464048.1539,29767108,"F"
218138367208.799,10732882,"F"
1168696296.2963,111454,"F"
73118147941.2704,16346950,"PF"
10907214993.5687,12414318,"PF"
1458868241.85588,1874309,"PF"
4787635821.28928,779004,"F"
15965670198.4548,11123176,"PF"
24024189735.8876,9587522,"PF"
361696880780.762,7451000,"PF"
160418835850.907,9775564,"PF"
25737594324.022,352721,"F"
2713165057513.35,1352617328,"F"
2713165057513.35,1352617328,"PF"
1042240309412.58,267663435,"PF"
453996479250.212,81800269,"NF"
224228010473.773,38433600,"NF"
382674360648.245,4867316,"F"
370587977125.732,8882800,"F"
2091544955092.31,60421760,"F"
15713908816.1463,2934855,"F"
4954806619995.19,126529100,"F"
42932112676.0563,9956011,"PF"
179339994859.384,18276452,"NF"
87778582964.1388,51393010,"PF"
196737895.995218,115847,"F"
140645364238.411,4137312,"PF"
8271108638.39931,6322800,"PF"
17953786416.1431,7061507,"NF"
34416012859.1866,1927174,"F"
54961275741.5589,6848925,"PF"
2575892261.54044,2108132,"PF"
3.264e+09,4818977,"PF"
52607888717.9487,6678567,"NF"
6876981286.43011,37910,"F"
53722883091.3513,2801543,"F"
70919958015.5247,607950,"F"
13853433947.6241,26262368,"PF"
6917301908.62757,18143315,"PF"
358715057123.739,31528585,"PF"
5299773145.08744,515696,"PF"
17070758732.1991,19077690,"PF"
14750790658.4025,484630,"F"
221278000,58413,"F"
7049169770.86399,4403319,"NF"
14181951058.5129,1265303,"F"
1222348807283.2,126190788,"PF"
11456717193.2501,2708214,"PF"
7188238072.74445,38682,"F"
13108769495.7425,3170208,"F"
5504255213.57871,622227,"PF"
118096227400.092,36029138,"PF"
14845870050.7092,29495962,"PF"
76168043981.5932,53708395,"PF"
13454211343.5949,2448255,"F"
124021393.690412,12704,"F"
29173513475.7073,28087871,"PF"
914043438179.607,17231624,"F"
207920613961.749,4900600,"F"
13063904770.3561,6465513,"NF"
12846952856.8458,22442948,"PF"
397190484464.308,195874740,"PF"
NA,25549819,"NF"
12683073866.1105,2082958,"PF"
25309818138.8758,1189265,"F"
434166615431.909,5311916,"F"
79788768968.949,4829483,"NF"
314567541558.339,212215030,"PF"
314567541558.339,212215030,"NF"
280435700,17907,"F"
65128200000,4176873,"F"
24109509856.1866,8606316,"PF"
40384691790.5685,6956071,"PF"
222044970486.217,31989256,"F"
346841896890.281,106651922,"PF"
587411745161.558,37974750,"F"
242313116577.967,10283822,"F"
183334953813.209,2781677,"NF"
241457403085.042,19472545,"F"
1669583089322.96,144477859,"NF"
9635951159.79293,12301939,"NF"
821496064.526185,196130,"F"
1655300872.53427,33785,"F"
412261829.648576,211028,"F"
786521831571.957,33699947,"NF"
23236007428.2582,15854360,"F"
50640650221.4622,6982604,"PF"
1586008999.74841,96762,"PF"
4085114794.22324,7650154,"PF"
373217081850.534,5638676,"PF"
105701930962.982,5446771,"F"
54161636034.6517,2073894,"F"
1593964162.21314,652858,"F"
4720727278.18833,15008154,"NF"
368288939768.322,57792520,"F"
1724845615629.26,51606633,"F"
NA,10975920,"NF"
1422153839840.78,46797754,"F"
88425889592.1519,21670000,"PF"
1010822222.22222,52438,"F"
2065875074.07407,181889,"F"
811300000,110210,"F"
33128480498.7296,41801533,"NF"
3464656616.41541,575987,"F"
555455371487.089,10175214,"F"
705140620046.7,8514329,"F"
NA,16906283,"NF"
NA,NA,"F"
7522947810.12326,9100837,"NF"
58001200572.3965,56318348,"PF"
506514103905.268,69428524,"NF"
1670670668.5939,2280102,"PF"
1559894900,1267972,"F"
5364369025.63973,7889094,"PF"
489235527.395387,103197,"F"
23808146747.7994,1389858,"F"
39770297328.9509,11565204,"F"
778381859840.942,82319724,"NF"
40761142857.1429,5850908,"NF"
42588164.9731022,11508,"F"
32916147253.2718,42723139,"NF"
130901858421.72,44622518,"PF"
422215043584.969,9630959,"NF"
2860667727551.97,66460344,"F"
20580159776000,326687501,"F"
59596885024.3487,3449299,"F"
50392607758.2324,32956100,"NF"
914700508.22242,292680,"F"
NA,28870195,"NF"
245213686369.157,95540395,"NF"
16276600000,4569087,"NF"
NA,NA,"NF"
23486270352.3327,28498687,"NF"
26312140828.64,17351822,"PF"
24311560500,14439018,"PF"
18869945677.9599,36296400,"NF"
13019693450.8816,2873457,"PF"
170163165960.516,41389198,"NF"
3000180750.11297,77001,"F"
122123822333.59,29816748,"NF"
1467977777.77778,95426,"F"
643628665302.668,44044811,"F"
11527458565.7334,2944809,"PF"
1329188475752.32,24601860,"F"
417237869115.93,8797566,"F"
40865558912.3867,9854033,"NF"
12490700000,381761,"F"
35473776595.7447,1494074,"NF"
249711027660.253,159670593,"PF"
4.978e+09,286233,"F"
54726595249.1849,9498264,"NF"
502698069366.942,11375158,"F"
1836600000,375769,"F"
12701656930.6889,11175204,"F"
2450364928.07302,745568,"PF"
37508642165.3366,11192854,"PF"
18080118128.3854,3351527,"PF"
17405588070.4332,2205128,"F"
2062831045935.95,207833831,"F"
12128104859.1498,424473,"NF"
58971520599.2509,7075947,"F"
14106956830.0857,19193284,"PF"
3172292379.36329,10827024,"NF"
1769787215.14611,537497,"F"
22177200511.5811,16009414,"NF"
35009262788.15,24566045,"NF"
1649878054226.82,36545295,"F"
2072350151.13061,4596028,"NF"
10000395242.1457,15016773,"NF"
277044950259.009,18470439,"F"
12310409370892.8,1386395000,"NF"
311883730690.129,48909844,"PF"
1077439662.5798,813892,"PF"
11198674674.3816,5110702,"NF"
38019265625.8845,81398764,"NF"
58481858042.5721,4949954,"F"
51588158717.5348,24437469,"PF"
55481644098.0495,4124531,"F"
9.6851e+10,11339259,"NF"
22729184365.1152,1179680,"F"
218628940951.675,10594438,"F"
332121063806.391,5764980,"F"
2751461055.59307,944097,"NF"
519837037.037037,71458,"F"
79997975622.7604,10513131,"PF"
104295862000,16785361,"PF"
235733695652.174,96442593,"NF"
24979200000,6388122,"F"
12200914929.5961,1262001,"NF"
NA,NA,"NF"
26951648828.5789,1317384,"F"
4402972999.53486,1124753,"NF"
81770791970.982,106400024,"NF"
5353404418.66413,877459,"PF"
255232257243.53,5508214,"F"
2595151045197.65,66864379,"F"
14929488770.7315,2064823,"NF"
1.6128e+10,4454805,"NF"
16242916915.7203,3728004,"PF"
3682602479929.42,82657002,"F"
58998132329.6173,29121471,"F"
203588424740.3,10754679,"F"
1125685185.18519,110874,"F"
71612352644.9734,16087418,"PF"
10324668266.5921,12067539,"PF"
1350177127.5523,1828146,"PF"
4748174334.14044,775221,"F"
14213814582.7938,10982366,"PF"
23136232229.6069,9429013,"PF"
341244161576.759,7391700,"PF"
142961605733.026,9787966,"F"
24488176540.5908,343400,"F"
2652754685834.59,1338658835,"F"
2652754685834.59,1338658835,"PF"
1015618742565.81,264645886,"PF"
445345256459.105,80673951,"NF"
195473049873.096,37552781,"NF"
335663113507.851,4807388,"F"
353253406982.751,8713300,"F"
1961796197354.36,60536709,"F"
14806340821.0871,2920853,"F"
4866864409657.68,126785797,"F"
41408960786.8028,9779173,"PF"
166805800595.704,18037776,"NF"
78965004656.1823,50221473,"PF"
187276210.91355,114158,"F"
120707220573.689,4056099,"PF"
7702934800.12836,6198200,"PF"
16853087485.4118,6953035,"NF"
30458763245.5118,1942248,"F"
53140638269.1211,6811873,"PF"
2405289384.40985,2091412,"PF"
3285455000,4702228,"PF"
37883243650.452,6580724,"NF"
6552858738.70214,37800,"F"
47758736931.7801,2828403,"F"
64181944722.7283,596336,"F"
13176313233.1978,25570540,"PF"
6303292264.18905,17670260,"PF"
319112136545.438,31105028,"PF"
4754352301.4104,496402,"PF"
15365627045.0866,18512394,"PF"
13146963159.1185,467999,"F"
212881000,58058,"F"
6758390728.71734,4282574,"NF"
13259351418.4459,1264613,"F"
1158913035796.37,124777324,"PF"
9669759987.02633,2755158,"PF"
6431314957.07185,38392,"F"
11425755279.5395,3113779,"F"
4844606145.7683,622373,"PF"
109682728023.112,35581294,"PF"
13219084261.3664,28649007,"PF"
68945867477.6054,53382581,"PF"
12741746523.8632,2402603,"F"
109585941.624557,12876,"F"
25180583770.2719,27627124,"PF"
833869641687.06,17131296,"F"
205415864857.984,4813600,"F"
13785909906.1925,6384855,"PF"
11189541083.3975,21602472,"PF"
375746469538.666,190873311,"PF"
NA,25429985,"NF"
11307058382.3435,2081996,"PF"
22729184365.1152,1179680,"F"
398393955268.99,5276968,"F"
70598026282.7982,4665935,"NF"
304567253219.097,207896686,"PF"
304567253219.097,207896686,"NF"
286106800,17808,"F"
6.2219e+10,4106771,"F"
22742613549.3956,8438029,"PF"
39008900331.6733,6867062,"PF"
211007207483.515,31444297,"F"
328480738147.216,105173264,"PF"
526508877305.321,37974826,"F"
221357874718.93,10300300,"F"
161099122215.307,2724724,"NF"
211695422578.655,19587290,"F"
1574199387070.9,144496739,"NF"
9253098954.27769,11980937,"NF"
832153612.557186,195352,"F"
1528630707.49794,33671,"F"
375614556.382313,207089,"F"
688586244286.512,33099147,"NF"
20996564751.5994,15419381,"F"
44179055279.8887,7020858,"F"
1524486800.36049,95843,"PF"
3739577973.23943,7488431,"PF"
341863349989.138,5612253,"PF"
95494424978.5166,5439232,"F"
48586603447.6954,2066388,"F"
1483758906.61054,636038,"F"
4508845348.32722,14589119,"NF"
349554116683.818,57009751,"F"
1623901496835.79,51361911,"F"
NA,10910759,"NF"
1312539279462.36,46593236,"F"
87428125557.573,21444000,"PF"
996944444.444444,52036,"F"
1999090407.40741,180955,"F"
792177777.777778,109827,"F"
45021077955.328,40813396,"NF"
3216207914.31281,570501,"F"
541018749769.097,10057698,"F"
679950481622.843,8451840,"F"
NA,17068002,"NF"
NA,NA,"F"
7157865188.25222,8880268,"NF"
53320625958.5628,54663906,"PF"
456294704152.647,69209858,"NF"
1504909753.28746,2213894,"PF"
1599338100,1243261,"F"
4819949975.26077,7698475,"PF"
460379144.989821,101998,"F"
22474828527.1775,1384072,"F"
39802430354.6334,11433443,"F"
858988610574.035,81101892,"NF"
37926285714.2857,5757669,"NF"
40619251.9926426,11370,"F"
30756466548.0543,41162465,"PF"
112190355158.178,44831135,"PF"
385605506854.881,9487203,"NF"
2666229179958.01,66058859,"F"
19519353692000,324985539,"F"
59530088537.3307,3436646,"F"
59159945320.5667,32388600,"NF"
880043553.748442,285510,"F"
NA,29390409,"NF"
223779865815.183,94596642,"NF"
1.6128e+10,4454805,"NF"
NA,NA,"NF"
26736139802.004,27834821,"NF"
25868165344.8185,16853688,"PF"
22040902300,14236745,"NF"
18017749073.9033,35383128,"NF"
11861200797.4706,2876101,"PF"
159994837855.12,40551404,"NF"
2896679211.86628,77297,"F"
101123851090.455,28842484,"NF"
1436585185.18519,94527,"F"
557531376217.967,43590368,"F"
10546135160.031,2936146,"PF"
1208846993739.99,24190907,"F"
395568644341.038,8736668,"F"
37867518957.1975,9757812,"NF"
11928500000,377931,"F"
32234973404.2553,1425791,"NF"
221415188000.475,157970840,"PF"
4.83e+09,285796,"F"
47722657820.6675,9501534,"NF"
475739588764.759,11331422,"F"
1775100000,368400,"F"
11821066152.5979,10872067,"F"
2158972129.00307,736709,"PF"
33941126200.0606,11031813,"PF"
16913330693.9653,3386267,"PF"
15646354089.458,2159944,"F"
1795700168991.49,206163058,"F"
11400854267.7188,419800,"NF"
53806894796.3801,7127822,"F"
12833363370.174,18646378,"PF"
2959640987.29943,10487998,"NF"
1662998678.36743,531146,"F"
20016747754.0192,15766293,"NF"
32643697595.8378,23926539,"NF"
1528243213982.08,36109487,"F"
1825018190.85071,4537687,"NF"
10097778353.7651,14561666,"NF"
250440136356.127,18209068,"F"
11233276536737.2,1378665000,"NF"
282825009887.458,48175048,"PF"
1012835518.26037,795592,"PF"
10335424288.4306,4980999,"NF"
37134799974.5225,78789127,"NF"
57157992434.1805,4899345,"F"
47964234560.0514,23822714,"PF"
51601147665.8089,4174349,"F"
9.137e+10,11335109,"NF"
20953442550.3653,1170187,"F"
196272068576.338,10566332,"F"
313115929314.339,5728010,"F"
2603554906.59464,929112,"NF"
576229629.62963,71307,"F"
75704720189.6204,10397743,"PF"
99937696000,16491115,"PF"
332441717791.411,94447072,"NF"
24191440000,6356143,"F"
11240809132.4145,1215179,"NF"
NA,NA,"NF"
24259552888.9717,1315790,"F"
3816018484.52711,1113984,"NF"
74296618481.0882,103603501,"NF"
4930204219.71304,872399,"PF"
240607907010.383,5495303,"F"
2471285607081.72,66724104,"F"
14023890620.3384,2007873,"NF"
15405400000,4367088,"NF"
15141758566.7808,3727505,"PF"
3467498002104.33,82348669,"F"
55009730600.0307,28481946,"F"
195222443844.783,10775971,"F"
1061631222.22222,110261,"F"
66053725049.0138,15827690,"PF"
8595955581.21787,11738441,"PF"
1179004941.22904,1782437,"PF"
4482697336.56174,771366,"F"
13723267960.8434,10839970,"PF"
21717622071.3816,9270795,"PF"
320837638328.846,7336600,"PF"
128470534117.954,9814023,"F"
20618363251.6229,335439,"F"
2294797978291.98,1324509589,"F"
2294797978291.98,1324509589,"PF"
931877364177.742,261554226,"PF"
417983583565.54,79564016,"NF"
174896224010.152,36610632,"NF"
300523297823.576,4755335,"F"
318950599043.544,8546000,"F"
1875797463583.87,60627498,"F"
14075894320.3166,2906238,"F"
4922538141454.62,126994511,"F"
39892551148.8301,9551467,"PF"
137278320084.171,17794055,"NF"
69188755364.2995,49051686,"PF"
178328873.030033,112524,"F"
109419728566.7,3956875,"PF"
6813092065.83507,6079500,"PF"
15805692545.8723,6845846,"NF"
28052325862.0461,1959537,"F"
51205122503.8143,6711121,"PF"
2165408359.1668,2075001,"PF"
3277826000,4586788,"PF"
26197143268.1243,6492164,"NF"
6237264055.20601,37658,"F"
43018087237.5741,2868231,"F"
60691483443.1221,582014,"F"
11848615018.4137,24894380,"PF"
5433040159.88747,17205289,"PF"
301255380276.258,30684804,"PF"
4379115587.82957,475513,"PF"
14025944550.3788,17965429,"PF"
11665231192.2959,455356,"F"
200558400,57735,"F"
6398744505.08129,4163534,"NF"
12232463655.5727,1263473,"F"
1078490651625.31,123333376,"PF"
8071480540.86068,2802170,"PF"
6472990923.1791,38070,"F"
11186734674.3847,3056359,"F"
4373958353.52982,622303,"PF"
103311649248.024,35126296,"PF"
11936999283.1791,27829942,"PF"
67184236746.5694,53045226,"PF"
10665634688.0779,2358041,"F"
100087348.959092,13049,"F"
21185922407.5922,27261131,"PF"
783528181704.567,17030314,"F"
188223664746.524,4714100,"F"
13286083644.8761,6303974,"PF"
10355006770.1014,20788838,"PF"
404650006428.613,185960289,"PF"
NA,25307744,"NF"
10672471860.7184,2080745,"PF"
20953442550.3653,1170187,"F"
368819929542.194,5234519,"F"
65480507170.7857,4479219,"NF"
278654637737.69,203627284,"PF"
278654637737.69,203627284,"NF"
295065400,17725,"F"
57907700000,4037078,"F"
20759069104.55,8271760,"PF"
36054281572.3981,6777872,"PF"
191895943823.887,30926032,"F"
318627003966.055,103663927,"PF"
472630364208.177,37970087,"F"
206286022781.894,10325452,"F"
151732181857.113,2654374,"NF"
188128818486.401,19702267,"F"
1276786979221.81,144342397,"NF"
8697268915.96904,11668818,"NF"
799376439.530168,194535,"F"
1468377272.13859,33504,"F"
345495358.376319,203227,"F"
644935541446.453,32442572,"NF"
19040312815.1337,14993528,"F"
40692643373.0327,7058322,"F"
1426651768.82189,94677,"PF"
3674794530.18956,7328838,"PF"
318652334419.11,5607283,"PF"
89655253976.4258,5430798,"F"
44736333522.4522,2065042,"F"
1378551118.49224,619437,"F"
4198485403.88058,14185613,"NF"
296357282715.109,56207649,"F"
1500111596236.37,51217803,"F"
NA,10832512,"NF"
1232076017361.53,46484062,"F"
82401038709.5356,21203000,"PF"
971166666.666667,51629,"F"
1865375222.22222,180024,"F"
774429629.62963,109459,"F"
51772232494.854,39847440,"NF"
3128953536.91038,564883,"F"
515654671469.547,9923085,"F"
671309197478.183,8373338,"F"
NA,17453933,"NF"
NA,NA,"F"
6952678127.03396,8663579,"NF"
49774021003.0748,53050790,"PF"
413430123185.367,68971331,"NF"
1484579844.37143,2149139,"NF"
1650608600,1219288,"PF"
4486979198.3066,7509952,"PF"
420540178.571429,101133,"F"
22284780326.8856,1377564,"F"
41801210428.3054,11303946,"F"
869683121562.531,79821724,"PF"
3.618e+10,5662372,"NF"
36547799.583705,11225,"F"
29078719933.9986,39647506,"NF"
93355993628.5042,45004673,"PF"
357045064669.843,9360980,"NF"
2694283209613.29,65611593,"F"
18714960538000,322941311,"F"
52687612262.177,3424132,"F"
81779012350.8833,31847900,"NF"
804332795.575017,278330,"F"
NA,29846179,"NF"
205276172134.901,93638724,"NF"
15405400000,4367088,"NF"
NA,NA,"NF"
30935978723.73,27168210,"NF"
20954754378.1394,16363507,"PF"
20548678100,14030390,"PF"
19907111418.9938,34413603,"NF"
11386846319.1589,2880703,"PF"
166361491140.753,39728025,"NF"
2789870187.50693,78011,"F"
